FID,gid,UF,nome,Censo,Populacao_Masculina,Populacao_Feminina
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2da9,573,RIO GRANDE DO SUL,Entre Rios do Sul,2010,1556,1524
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2da7,2242,PARAÍBA,Nazarezinho,2010,3631,3649
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2da5,3829,RONDÔNIA,Espigão D'Oeste,2010,14606,14123
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d93,262,BAHIA,Mata de São João,2010,19879,20304
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d8f,3350,MINAS GERAIS,Desterro de Entre Rios,2010,3571,3431
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d8d,5304,TOCANTINS,Alvorada,2010,4252,4122
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d7b,2336,PARAÍBA,São Domingos,2010,1412,1443
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d79,79,BAHIA,Nova Itarana,2010,3771,3664
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d76,342,RIO GRANDE DO SUL,Venâncio Aires,2010,32643,33303
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d5e,5112,PARANÁ,Piên,2010,5759,5477
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d5c,2376,PARÁ,Tailândia,2010,40991,38306
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d57,2719,MINAS GERAIS,Pirapora,2010,26146,27222
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d48,304,RIO GRANDE DO SUL,Arroio do Padre,2010,1414,1316
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d47,4257,SÃO PAULO,Casa Branca,2010,14997,13310
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d45,2285,PARÁ,Magalhães Barata,2010,4258,3857
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2d23,1785,RIO DE JANEIRO,Rio Bonito,2010,27318,28233
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2cf8,2855,PERNAMBUCO,Gravatá,2010,36904,39554
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2cf7,4375,BAHIA,Castro Alves,2010,12268,13140
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ce1,427,RIO GRANDE DO SUL,Estrela Velha,2010,1846,1782
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2cdf,837,GOIÁS,Nova Crixás,2010,6223,5704
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2cb3,4791,SÃO PAULO,Rosana,2010,9780,9911
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2c9c,2522,MARANHÃO,Sucupira do Norte,2010,5337,5107
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2c9b,1722,MARANHÃO,Passagem Franca,2010,8693,8869
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2c96,3977,MATO GROSSO,Pontal do Araguaia,2010,2776,2619
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2c5a,3960,MATO GROSSO,Peixoto de Azevedo,2010,15970,14842
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2bf7,5278,SANTA CATARINA,Descanso,2010,4356,4278
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2bef,2700,MINAS GERAIS,Perdigão,2010,4555,4357
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2bd1,3062,PERNAMBUCO,Jaqueira,2010,5705,5796
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2bb7,3357,MINAS GERAIS,Divino das Laranjeiras,2010,2460,2477
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2bb5,2576,MINAS GERAIS,Monte Sião,2010,10654,10549
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2bab,1591,MARANHÃO,Central do Maranhão,2010,4087,3800
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2baa,1010,RORAIMA,Caroebe,2010,4309,3805
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b8f,5054,SÃO PAULO,Itu,2010,76219,77928
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b8c,1244,PIAUÍ,Wall Ferraz,2010,2165,2115
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b89,3267,PERNAMBUCO,Lagoa Grande,2010,11317,11443
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b7f,45,RIO GRANDE DO SUL,Doutor Ricardo,2010,1035,995
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b64,2866,MINAS GERAIS,Ritápolis,2010,2434,2491
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b5d,1221,SERGIPE,Tobias Barreto,2010,23459,24581
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b45,1648,RIO GRANDE DO NORTE,Pau dos Ferros,2010,13516,14229
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b43,3558,MINAS GERAIS,Ipaba,2010,8411,8297
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b42,1622,MARANHÃO,Formosa da Serra Negra,2010,9324,8433
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b39,4133,MATO GROSSO,Porto dos Gaúchos,2010,2860,2589
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b18,808,ALAGOAS,Monteirópolis,2010,3358,3577
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2b17,851,GOIÁS,Guarani de Goiás,2010,2291,1967
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2af6,1656,RIO GRANDE DO NORTE,Lagoa de Velhos,2010,1367,1301
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2af4,2436,PARAÍBA,Serraria,2010,3092,3146
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2af2,4629,SÃO PAULO,Lorena,2010,39858,42679
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ad5,752,ACRE,Acrelândia,2010,6592,5946
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ad4,4111,PARANÁ,Bom Sucesso,2010,3227,3334
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2acc,1448,MATO GROSSO DO SUL,Inocência,2010,3964,3705
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a72,1388,MATO GROSSO DO SUL,Brasilândia,2010,6045,5781
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a53,638,RIO GRANDE DO SUL,Áurea,2010,1807,1858
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a52,3755,MINAS GERAIS,Monte Alegre de Minas,2010,10052,9567
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a31,4726,SÃO PAULO,Pedranópolis,2010,1314,1244
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a30,4663,SÃO PAULO,Moji Mirim,2010,42597,43908
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a23,4204,SÃO PAULO,Arealva,2010,3997,3844
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a22,1045,GOIÁS,Mambaí,2010,3529,3342
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a0a,679,RIO GRANDE DO SUL,São João da Urtiga,2010,2401,2325
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2a06,2480,MARANHÃO,São Bernardo,2010,13356,13120
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29fd,1147,PIAUÍ,São José do Piauí,2010,3281,3310
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29fc,2209,PARÁ,Bagre,2010,12135,11729
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29ec,3806,PARANÁ,Goioxim,2010,3924,3579
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29e4,685,SÃO PAULO,Adolfo,2010,1787,1770
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29e2,4320,BAHIA,Cairu,2010,7841,7533
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29d9,2842,PERNAMBUCO,Escada,2010,31151,32366
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29d7,649,RIO GRANDE DO SUL,São José das Missões,2010,1377,1343
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29d6,3781,SÃO PAULO,Guariba,2010,17912,17574
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29d5,2532,MARANHÃO,Tutóia,2010,26680,26108
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-29cb,3151,MINAS GERAIS,São José do Divino,2010,1890,1944
